#Argon	
#	
#E/N (td)	V/1000(m/s)
0.01	0.935
0.012	0.972
0.014	1.005
0.017	1.047
0.02	1.084
0.025	1.144
0.03	1.205
0.035	1.252
0.04	1.294
0.05	1.368
0.06	1.437
0.07	1.5
0.08	1.556
0.1	1.654
0.12	1.741
0.14	1.82
0.17	1.918
0.2	2
0.25	2.13
0.3	2.23
0.35	2.31
0.4	2.39
0.5	2.52
0.6	2.63
0.7	2.73
0.8	2.81
1	2.95
2	3.44
3	3.81
4	4.12
5	4.75
6	5.64
7	6.4
8	7.61
10	9.56
12	11.7
14	13.4
17	16.3
20	18.8
25	22.4
30	27.1
35	31.1
40	34.4
50	41.2
60	49.1
70	58.4
80	68
100	85.5
200	149
300	217
400	282
500	351

