#********ELECTRON DRIFT_VELOCITY *****************************
#*-g. de Izarra, CEA Cadarache-------------------------------- 
#* Give the drift velocity in 10^3 (m/s)
#* fit type -> 0 f(x)=a*x**b 1-> f(x)=a*x+b*x**2+c*x**3+d 2->f(x)=a*(1-exp(b*(x)**c)) 
#* Medium, fit_type, low bound (Td), high bound (td), a,b,c,d
#*************************************************************
He  0	0.02	0.2	5.94741	0.624701	0	0
He  0	0.2	7	4.81119	0.560496	0	0
He  1	7	200	2.27587	0.00722098	-2.62E-05	0
Ne	0	0.02	2	5.81155	0.433688	0	0
Ne	1	2	10	1.65561	0.501188	-0.0352863	3.60173
Ne	1	10	600	3.03524	-0.00531017	4.23208e-006	6.25839
Ar	0	0.01	1	2.9796	0.2554	0	0
Ar	1	1	6	1.01772	-0.24127	0.0281481	2.14667
Ar	1	6	500	0.902407	-0.000909292	1.02E-06	0
Kr	1	0.001	0.02	10.7674	136.414	44394.1	0
Kr	0	0.02	2	1.95639	0.231459	0	0
Kr	1	2	100	1.18024	-0.0127126	8.81124e-005	-1.68907
Kr	1	100	500	1.28124	-0.00296429	3.63333e-006	-24.92
Xe	1	0.002	0.02	3.61512	24.386	0	0
Xe	2	0.02	0.1	0.868258	-1192.12	2.41867	0
Xe	1	0.1	10	0.3967	-0.0267197	0.0047372	0.898224
Xe	1	10	100	0.495406	-0.000559468	8.12541e-006	2.94391
Xe	1	100	500	0.0300952	0.00188929	-2.32E-06	35.76
Ar0p1N2	1	0.1	1.7	8.62079	-0.599775	-1.1196	0.795544
Ar0p1N2	1	1.7	6	-3.75464	0.630469	-0.0282536	13.0064
Ar1N2	1	0.06	1.7	6.39387	2.43144	-0.938927	1.59171
Ar1N2	1	1.7	5	14.5555	-2.38103	0.0898603	-3.22504
Ar1N2	1	5	10	-5.14297	0.45876	-0.0133648	37.2191
Ar5N2	1	0.1	1	2.75824 6.75988	-3.36282	2.8719
Ar5N2	1	1	10.0	7.46755	-0.117014	-0.0205166 1.65635
Ar4N2	1	0.03	6.3	 6.65628 0.320972	 -0.0692697	2.10623
Ar4N2	1	6.3	11.5	15.3992	-1.44739	0.0427033 -10.7823
Ar4N2	1	11.5	20	-1.83379  0.038104	0.000336824	55.3766
